Title,Description,User ID,Task Cat ID,City,Area,Pincode,budget
We are expert in wooden handmade arts and crafts,We are expert in wooden handmade arts and crafts; Please get in touch with us,14,85,Bangalore,Koramangala,560034,5000
I can teach you the four wheeler driving,I can teach you the four wheeler driving and help to get you the driving licence,23,55,Bangalore,Basavangudi,560004,3000
I can guide youon branding your product,I can guide youon branding your product,34,40,Bangalore,Mysore Road,560026,5000
I can arrange your meeting with event manager,I can arrange your meeting with event manager for your event,25,76,Bangalore,Mayalsandra,560059,2500
We can repair your freezer at your doorstep,We can repair your freezer at your doorstep,16,128,Bangalore,Banashankari ,560070,1000
I am Tester; I can test your mobile/web application,I am Tester; I can test your mobile/web application,17,68,Bangalore,Malleswaram,560003,6000
I can design/develop nice website of your business,I can design/develop nice website of your business,19,68,Bangalore,Rajaji Nagar,560010,10000
Call us for advertisements; banners; hoardings ,Call us for advertisements; banners; hoardings in all sizes,30,31,Bangalore,KR Puram,560049,15000
I can design your web banner; header,I can design your web banner; header,19,68,Bangalore,JP Nagar,560078,8000
Contact is for pet grooming and cleaning,Contact is for pet grooming and cleaning,40,123,Bangalore,Jayanagar,560011,1200
I can create your new; fantastic HEADER; banner or web graphics,I can create your new; fantastic HEADER; banner or web graphics,19,68,Bangalore,HSR Layout,560102,1000
I can write your About Us page for your website,I can write your About Us page for your website,42,68,Bangalore,Bommanahalli ,560068,500
Want to promote your Website? Please call Us,Want to promote your Website? Please call Us for more details,52,39,Bangalore,RR Nagar,560098,999
I can design a Professional Logo In 18 Hrs with FREE Jpg and Editable,I can design a Professional Logo In 18 Hrs with FREE Jpg and Editable,19,65,Bangalore,Koramangala,560034,1000
I can write a Mind Blowing ABOUT Us Page For Your Website or Business,I can write a Mind Blowing ABOUT Us Page For Your Website or Business,20,68,Bangalore,JP Nagar,560078,350
Need passport size photo in 10 minutes? Please visit our shop,Need passport size photo in 10 minutes? Please visit our shop,41,103,Bangalore,Rajaji Nagar,560010,100
I can register your company in short time,I can register your company in short time with minimum documents,39,110,Bangalore,Mayalsandra,560059,2500
I am interior designer; I can design your home within your budget,I am interior designer; I can design your home within your budget,64,132,Bangalore,Basavangudi,560004,7000
I can photo-shoot your event,I can photo-shoot your event at your place,45,103,Bangalore,Mysore Road,560026,2500
I can draw your comic sketch,I can draw your comic sketch for photo; gifit,49,87,Bangalore,HSR Layout,560102,200
Need to shift house? We can help in packing your home materials,Need to shift house? We can help in packing your home materials,60,132,Bangalore,Koramangala,560034,500
Want to learn Classical Dance tuition; Please join us,Want to learn Classical Dance tuition; Please join us,61,51,Bangalore,Banashankari ,560070,4000
I can cook north/south Indian food at your convenient time @ Rs.1200 per person,I can cook north/south Indian food at your convenient time @ Rs.1200 per person,63,116,Bangalore,JP Nagar,560078,1200
Looking for safe school bus? We can drop/pick-up your kids,Looking for safe school bus? We can drop/pick-up your kids,55,125,Bangalore,Jayanagar,560011,5000
I can make Sofa Set of your choice,I can make Sofa Set of your choice,62,127,Bangalore,Basavangudi,560004,12000
Want a Personal Loan? Please get in touch with us,Want a Personal Loan? Please get in touch with us,71,49,Bangalore,HSR Layout,560102,100
I can design a nice logo for your company,I can design a nice logo for your company,19,102,Bangalore,Koramangala,560034,1000
I can write a website contents at your budget,I can write a website contents at your budget,20,68,Bangalore,Banashankari ,560070,1500
Want to loose/gain weight? Please contact us,Want to loose/gain weight? Please contact us,70,118,Bangalore,Malleswaram,560003,3200
Do you need safe travel? call for to book a taxi with cheapest rate,Do you need safe travel? call for to book a taxi with cheapest rate,66,125,Bangalore,RR Nagar,560098,499
